,City,Country Code,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness (%),Wind Speed (mph)
494,BUSSELTON,AU,-74.82,81.2,75.11,79,44,15.12
495,HIGH LEVEL,CA,60.98,-119.42,21.2,79,20,6.93
496,LEBU,CL,-37.13,-88.94,55.22,95,0,7.85
497,BUSSELTON,AU,-64.29,82.53,75.11,79,44,15.12
498,NEW NORFOLK,AU,-53.87,140.35,71.6,37,75,12.75
500,HOBART,AU,-65.68,138.67,71.6,37,75,12.75
501,RIKITEA,PF,-49.72,-112.31,76.59,100,100,8.86
502,TEZU,IN,28.67,99.11,58.41,65,0,1.14
503,SAO FILIPE,CV,10.97,-34.08,74.66,95,92,18.25
504,CAPE TOWN,ZA,-41.29,6.56,57.2,93,0,11.41
505,VAINI,TO,-52.11,-179.03,80.6,54,75,11.32
506,ASTANA,KZ,50.72,71.62,-7.61,76,0,6.71
507,PUERTO AYORA,EC,-21.88,-99.17,70.92,99,36,9.19
508,TUKTOYAKTUK,CA,79.02,-135.08,26.6,92,90,29.97
509,CAYENNE,GF,17.16,-42.2,77,94,20,4.7
510,MORRO BAY,US,33.98,-122.66,53.6,25,1,5.82
511,HAVRE-SAINT-PIERRE,CA,50.41,-64.68,14,66,75,16.11
512,BUBAQUE,GW,10.0,-15.82,75.56,100,8,21.72
513,HILO,US,7.3,-153.86,75.2,69,20,12.75
514,AKLAVIK,CA,77.06,-142.57,21.2,85,75,5.82
515,CHARA,RU,57.6,117.14,-5.09,47,44,2.04
516,VEGREVILLE,CA,53.38,-112.09,13.68,81,64,14.34
517,JAMESTOWN,SH,-30.08,-18.62,68.67,100,68,16.02
519,CIDREIRA,BR,-49.66,-28.89,70.83,93,20,12.77
522,MAJENE,ID,-4.43,117.24,80.64,100,48,2.37
523,SIBOLGA,ID,-2.5,94.54,76.23,92,12,1.7
525,ROMITA,MX,20.8,-101.49,59,44,75,3.6
526,ALBANY,AU,-68.97,120.0,68.36,67,64,11.43
527,RIKITEA,PF,-41.63,-123.08,76.59,100,100,8.86
528,KAPAA,US,30.52,-177.49,73.4,88,75,17.22
529,USHUAIA,AR,-87.5,-39.03,46.4,61,75,11.41
530,BLUFF,NZ,-78.29,152.15,61.47,92,12,16.8
531,BRATSK,RU,55.44,101.97,5,84,40,2.24
532,PORT HARDY,CA,44.86,-132.45,35.6,100,90,3.36
533,HERMANUS,ZA,-48.51,13.28,56.12,96,0,2.37
534,SOUILLAC,MU,-55.56,75.75,71.6,88,20,5.82
535,PUNTA ARENAS,CL,-69.86,-96.78,42.8,70,75,18.34
536,SENA MADUREIRA,BR,-8.28,-68.24,76.01,91,8,3.71
537,BURNS LAKE,CA,53.47,-125.16,12.65,77,8,3.71
539,USHUAIA,AR,-85.33,-41.73,46.4,61,75,11.41
540,MATTAWA,CA,46.33,-78.57,3.2,77,40,10.29
541,CASTRO,CL,-42.97,-106.97,50.81,95,80,8.52
542,USHUAIA,AR,-82.14,-66.49,46.4,61,75,11.41
543,BUTARITARI,KI,7.25,166.25,82.49,100,92,16.8
544,CHUY,UY,-59.56,-27.21,68.94,95,24,12.44
545,BLUFF,NZ,-65.66,159.44,61.47,92,12,16.8
546,THOMPSON,CA,69.56,-95.04,-2.21,84,90,2.24
547,ABHA,SA,18.91,42.95,41,41,0,3.36
548,PORT MACQUARIE,AU,-32.82,155.14,75.2,69,75,8.05
549,SAINT-PHILIPPE,RE,-28.87,57.48,78.8,61,0,6.93
550,ESPERANCE,AU,-34.66,124.22,81.86,58,24,8.75
551,RIKITEA,PF,-43.26,-116.95,76.59,100,100,8.86
552,ATUONA,PF,5.91,-128.04,78.89,100,80,9.42
553,AXIM,GH,-2.46,-2.58,75.78,100,48,8.97
554,MAREEBA,AU,-14.7,143.3,89.6,49,20,11.41
555,OTTUMWA,US,41.12,-92.41,32,89,90,10.29
556,TORBAY,CA,38.71,-43.63,28.4,74,90,28.86
557,RIKITEA,PF,-60.43,-126.85,76.59,100,100,8.86
558,CHAPAIS,CA,51.28,-73.88,-18.41,75,1,2.82
560,LAUNCESTON,AU,-41.47,148.15,66.2,52,90,17.22
561,KAPAA,US,18.24,-171.12,73.4,88,75,17.22
562,AMBERG,DE,49.2,11.67,42.8,100,90,3.36
563,CAPE TOWN,ZA,-45.12,1.51,57.2,93,0,11.41
564,COLLEGE,US,72.34,-148.09,-2.21,84,1,4.72
565,SEVERO-KURILSK,RU,38.24,165.34,25.34,100,44,15.23
567,NUEVO PROGRESO,MX,22.99,-97.67,73.44,94,0,13.44
568,RIBEIRA GRANDE,PT,41.75,-31.96,65.66,97,12,22.28
569,JAMESTOWN,SH,-11.52,-3.36,68.67,100,68,16.02
570,RIKITEA,PF,-60.49,-139.26,76.59,100,100,8.86
571,SAINT GEORGE,BM,28.92,-56.6,68,82,90,16.11
572,BALAIPUNGUT,ID,0.14,102.18,80.6,78,0,7.18
573,TURA,RU,64.48,100.99,-6.84,72,8,2.26
574,PUNTA ARENAS,CL,-78.72,-114.13,42.8,70,75,18.34
575,PUNTA ARENAS,CL,-81.05,-89.95,42.8,70,75,18.34
576,HILO,US,21.3,-154.41,75.2,69,20,12.75
577,CHUY,UY,-35.81,-52.25,68.94,95,24,12.44
578,PUERTO AYORA,EC,-14.41,-110.74,70.92,99,36,9.19
579,TUATAPERE,NZ,-56.39,158.15,64.49,77,12,11.65
580,USHUAIA,AR,-64.06,-48.21,46.4,61,75,11.41
581,TOMMOT,RU,59.62,126.89,2.79,62,48,5.39
582,TIAS,ES,29.56,-14.79,64.4,68,40,14.99
583,THOMPSON,CA,74.88,-93.07,-2.21,84,90,2.24
584,COMODORO RIVADAVIA,AR,-48.81,-62.72,62.6,45,40,14.99
586,HERMANUS,ZA,-81.09,3.32,56.12,96,0,2.37
587,USHUAIA,AR,-64.89,-55.96,46.4,61,75,11.41
588,BUSSELTON,AU,-58.57,101.01,75.11,79,44,15.12
590,SIMBAHAN,PH,7.28,119.92,82.94,100,100,18.14
591,SEVERO-KURILSK,RU,32.83,165.49,25.34,100,44,15.23
592,CONDE,BR,-12.66,-35.65,77,83,20,5.82
593,MYSKI,RU,53.74,87.63,2.61,66,92,5.61
594,HAMBANTOTA,LK,-4.02,84.08,78.71,100,56,11.99
596,HERMANUS,ZA,-89.53,10.2,56.12,96,0,2.37
597,HOBART,AU,-80.32,138.35,71.6,37,75,12.75
598,VAINI,TO,-49.55,-167.72,80.6,54,75,11.32
599,CORNWALL,CA,44.8,-74.49,8.6,92,1,2.48
600,PUERTO AYORA,EC,-2.22,-103.16,70.92,99,36,9.19
601,PUNTA ARENAS,CL,-60.21,-91.55,42.8,70,75,18.34
602,JAMESTOWN,SH,-34.28,-19.26,68.67,100,68,16.02
603,BLUFF,NZ,-87.59,151.01,61.47,92,12,16.8
604,ALBANY,AU,-76.72,112.46,68.36,67,64,11.43
605,KAVIENG,PG,5.1,150.28,84.78,100,36,4.72
606,SANTA MARIA DO SUACUI,BR,-18.24,-42.69,70.74,82,8,7.63
607,CAPE TOWN,ZA,-41.97,7.12,57.2,93,0,11.41
608,BATHSHEBA,BB,22.23,-43.59,78.8,83,20,19.46
609,RIKITEA,PF,-22.18,-134.32,76.59,100,100,8.86
610,POUM,NC,-20.11,160.8,78.62,100,44,13
611,BUSSELTON,AU,-80.56,84.0,75.11,79,44,15.12
612,POUM,NC,-18.7,159.2,78.62,100,44,13
614,YELLOWKNIFE,CA,69.81,-114.83,-0.41,77,90,4.7
615,ALBANY,AU,-50.7,113.17,68.36,67,64,11.43
616,LEBU,CL,-34.39,-81.16,55.22,95,0,7.85
617,INTA,RU,65.25,59.86,26.82,88,92,5.73
618,BUSSELTON,AU,-33.08,113.55,75.11,79,44,15.12
619,WINSLOW,US,34.7,-110.53,26.6,45,1,8.05
621,TUKTOYAKTUK,CA,79.91,-135.35,26.6,92,90,29.97
622,BUSSELTON,AU,-66.78,77.87,75.11,79,44,15.12
623,VICTORIA,SC,-3.23,58.99,80.6,83,75,12.75
624,BUTARITARI,KI,25.36,174.78,82.49,100,92,16.8
625,SAINT GEORGE,BM,30.61,-62.42,68,82,90,16.11
626,CAPE TOWN,ZA,-43.18,9.17,57.2,93,0,11.41
627,DINGLE,IE,49.97,-12.4,51.57,93,88,13.22
628,RIOHACHA,CO,11.54,-72.91,79.83,91,68,19.37
629,STEPNYAK,KZ,53.74,70.78,5.99,72,20,13.22
630,NEW NORFOLK,AU,-48.02,145.01,71.6,37,75,12.75
631,VICTORIA,SC,-6.35,49.75,80.6,83,75,12.75
632,NATA,BW,-19.88,26.21,70.34,91,48,8.41
633,COIHAIQUE,CL,-46.37,-70.17,46.4,65,40,8.05
635,BUTARITARI,KI,11.16,173.88,82.49,100,92,16.8
636,SAINT GEORGE,BM,32.17,-62.82,68,82,90,16.11
637,PEVEK,RU,86.66,174.94,-18.72,100,20,2.93
638,MAR DEL PLATA,AR,-65.67,-26.44,64.4,93,75,3.36
640,TUTOIA,BR,1.74,-41.85,80.15,78,92,11.99
641,LAZO,RU,45.63,133.89,32.36,58,0,2.59
642,TUATAPERE,NZ,-47.11,162.79,64.49,77,12,11.65
643,JAMESTOWN,SH,-13.96,-5.59,68.67,100,68,16.02
644,KAVARATTI,IN,8.66,63.52,82.22,100,0,7.63
645,HILO,US,8.86,-143.08,75.2,69,20,12.75
646,MAGDAGACHI,RU,53.28,125.61,-11.88,74,24,3.94
647,HOBART,AU,-89.96,135.13,71.6,37,75,12.75
648,AVARUA,CK,-32.7,-167.06,82.4,83,75,17.22
649,EAST LONDON,ZA,-45.12,35.11,75.42,94,92,6.29
